"Shopping Cart","Carrito de Compras"
"Invalid method: %1","Método inválido: %1"
City,Ciudad
Country,País
State/Province,Provincia
"Zip/Postal Code","Código Postal"
"My Cart (1 item)","Mi Carrito (1 ítem)"
"My Cart (%1 items)","Mi Carrito (%1 ítems)"
"My Cart","Mi Carrito"
"For delivery questions.","Para preguntas sobre la entrega."
"Customer is already registered","El Cliente ya está registrado"
"Your session has expired","Su sesión ha expirado"
"A letter with further instructions will be sent to your email.","Se enviará una carta con más instrucciones a su correo electrónico."
"You added %1 to your shopping cart.","Se agregó %1 a su carrito de compras."
"We can't add this item to your shopping cart right now.","No podemos agregar este artículo a su carrito de compras en este momento."
"Out of stock","Agotado"
"We can't find the quote item.","No podemos encontrar el ítem presupuestado."
"We cannot configure the product.","No podemos configurar el producto."
"You used coupon code ""%1"".","Usó el código de Cupón ""%1""."
"The coupon code ""%1"" is not valid.","El código de Cupón ""%1"" no es válido."
"You canceled the coupon code.","Se canceló el código de Cupón."
"We cannot apply the coupon code.","No podemos aplicar el código de cupón."
"We can't remove the item.","No podemos eliminar el ítem."
"%1 was updated in your shopping cart.","%1 fué actualizado en su carrito de compras."
"We can't update the item right now.","No podemos actualizar el ítem ahora."
"We can't update the shopping cart.","No podemos actualizar el carrito de compras."
"One-page checkout is turned off.","El checkout de una sola página está deshabilitado."
"Guest checkout is disabled.","El checkout para invitados está deshabilitado."
Checkout,Checkout
"Page not found.","Página no encontrada."
"Please agree to all the terms and conditions before placing the order.","Por favor acepta todos los términos y condiciones antes de realizar el pedido."
"Something went wrong while processing your order. Please try again later.","Algo salió mal mientras procesaba su pedido. Por favor, inténtelo de nuevo más tarde."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 no extiende \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Método de Pago"
"Payment Page","Página de pago"
"We can't find the product.","No podemos encontrar el Producto."
"We found an invalid request for adding product to quote.","Encontramos una solicitud no válida para agregar un producto para cotizar."
"The product does not exist.","El producto no existe."
"We don't have some of the products you want.","No tenemos algunos de los productos que desea."
"We don't have as many of some products as you want.","No tenemos tantos productos como los que Ud. desea."
"Quantity was recalculated from %1 to %2","La cantidad fué recalculada de %1 a %2"
"We adjusted product quantities to fit the required increments.","Ajustamos las cantidades de productos para que se ajusten a los incrementos requeridos."
"This quote item does not exist.","Este ítem cotizado no existe."
"Display number of items in cart","Mostrar número de ítems en el carrito"
"Display item quantities","Mostrar cantidades de artículos"
"An error occurred on the server. Please try to place the order again.","Se produjo un error en el servidor. Intenta hacer el pedido nuevamente."
"Shipping address is not set","La dirección de envío no está configurada"
"Unable to save shipping information. Please check input data.","No se puede guardar la información de envío. Por favor verifique los datos de entrada."
"Carrier with such method not found: %1, %2","Operador de transporte con dicho método no encontrado: %1, %2"
"Shipping method is not applicable for empty cart","El método de envío no es aplicable para el carrito vacío"
" item"," ítem"
" items"," ítems"
"Totals calculation is not applicable to empty cart","El cálculo de totales no es aplicable al carrito vacío"
"Invalid data","Datos inválidos"
"The customer address is not valid.","La dirección del cliente no es válida."
"Invalid shipping method","Método de envío inválido"
"There are more than one shipping addresses.","Hay más de una dirección de envío."
"Sorry, guest checkout is not available.","Lo sentimos, el checkout de invitado no está disponible."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Debe confirmar su cuenta. Por favor chequee su email y haga click en el link de confirmación o haga <a href=""%1"">click aquí</a> para un nuevo link."
"Load customer quote error","Error en carga de cotización de cliente"
"Error message!","Mensaje de Error!"
Error!,Error!
"DB exception","Excepción de BD"
Message,Mensaje
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimir Recibo</a>"
"Apply Discount Code","Aplicar Código de Descuento"
"Enter discount code","Ingresar Código de Descuento"
"Apply Discount","Aplicar Descuento"
"Cancel Coupon","Cancelar Cupón"
"Shopping Cart Items","Items del Carrito de Compras"
Item,Item
Price,Precio
Qty,Cant
Subtotal,Subtotal
"Continue Shopping","Continuar Comprando"
"Clear Shopping Cart","Limpiar Carrito de Compras"
"Update Shopping Cart","Actualizar Carrito de Compras"
"Update Cart","Actualizar Carrito"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"What's this?","Qué es esto?"
"Edit item parameters","Editar parámetros del ítem"
Edit,Editar
"Remove item","Remover ítem"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"Click <a href=""%1"">here</a> to continue shopping.","Haga Click <a href=""%1"">aquí</a> para continuar comprando."
"Estimate Tax","Impuesto estimado"
"Estimate Shipping and Tax","Envío e impuesto estimado"
"Excl. Tax","Impuestos Excl."
Loading...,Cargando...
"Order #","Pedido #"
"Proceed to Checkout","Pasar por Caja"
"Product Name","Nombre de Producto"
"Incl. Tax","Impuestos Incl."
"Your order number is: %1.","Su número de Pedido es: %1."
"Your order # is: <span>%1</span>.","Su # de Pedido es: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Le enviaremos por correo electrónico una confirmación de pedido con detalles e información de seguimiento."
"Payment Transaction Failed Reminder","Recordatorio de Transacción de Pago Fallida"
"Payment Transaction Failed","Transacción de Pago Fallida"
Reason,Razón
"Checkout Type","Tipo de Checkout"
Customer:,Cliente:
Items,Items
Total:,Total:
"Billing Address:","Dirección de Pago:"
"Shipping Address:","Dirección de Envío:"
"Shipping Method:","Método de Envío:"
"Payment Method:","Método de Pago:"
"Date & Time:","Fecha & Hora:"
"Sign In","Registrarse"
"Email Address","Dirección de Email"
Password,Contraseña
"Forgot Your Password?","Olvidó su contraseña?"
"My billing and shipping address are the same","Mis direcciones de Facturación y Envío son las mismas"
Update,Actualizar
Cancel,Cancelar
"Save in address book","Guardar en libreta de direcciones"
"Estimated Total","Total Estimado"
"You can create an account after checkout.","Puede crear una cuenta después del Checkout."
"You already have an account with us. Sign in or continue as guest.","Ya tiene una cuenta con nosotros. Inicie sesión o continúe como invitado."
Login,Ingresar
"See Details","Ver Detalles"
"Options Details","Detalles de opciones"
Remove,Remover
"Cart Subtotal","Subtotal del Carrito"
"Payment Information","Información de pago"
"No Payment method available.","No hay método de Pago disponible."
"You can track your order status by creating an account.","Puede rastrear el estado de su pedido creando una cuenta."
"Place Order","Realizar Pedido"
"Forgot an Item?","Olvidó un artículo?"
"Edit Your Cart","Edite su carrito"
"Ship Here","Enviar Aquí"
"Ship To:","Enviar a:"
edit,editar
"Order Summary","Resumen del pedido"
"View and Edit Cart","Ver y Editar Carrito"
"View Details","Ver Detalles"
"Field ","Campo "
" is required."," es requerido."
"Provided Zip/Postal Code seems to be invalid.","El Código Postal provisto parece ser inválido."
" Example: "," Ejemplo: "
"If you believe it is the right one you can ignore this notice.","Si crees que es el correcto, puedes ignorar este aviso."
"New Address","Nuevo Domicilio"
"Are you sure you would like to remove this item from the shopping cart?","¿Seguro que quieres eliminar este artículo del carrito de compras?"
"Review & Payments","Revisión y pagos"
"Select a new payment method","Seleccione un nuevo Método de Pago"
Shipping,Envío
"Save Address","Guardar Domicilio"
"Please specify a shipping method.","Por favor especifique un nuevo Método de Envío."
"Checkout Options","Opciones de Checkout"
"Enable Onepage Checkout","Habilitar Checkout de una sola Página"
"Allow Guest Checkout","Permitir Checkout a invitados"
"Display Billing Address On","Mostrar dirección de facturación activada"
"Maximum Number of Items to Display in Order Summary","Número máximo de elementos para mostrar en resumen de pedido"
"Quote Lifetime (days)","Tiempo de vida de la Cotización (días)"
"After Adding a Product Redirect to Shopping Cart","Después de Agregar un producto, redireccionar al Carrito de Compras"
"Number of Items to Display Pager","Número de Ítems para mostrar el Paginador"
"My Cart Link","Link a Mi Carrito"
"Display Cart Summary","Mostrar Resumen de Carrito"
"Shopping Cart Sidebar","Barra Lateral del Carrito de Compras"
"Display Shopping Cart Sidebar","Mostrar Barra Lateral del Carrito de Compras"
"Number of Items to Display Scrollbar","Número de elementos para mostrar la barra de desplazamiento"
"Maximum Number of Items to Display","Número máximo de elementos para mostrar"
"Payment Failed Emails","Correo electrónico con errores de pago"
"Payment Failed Email Sender","Remitente de correo electrónico con errores de pago"
"Payment Failed Email Receiver","Receptor de correo electrónico con errores de pago"
"Payment Failed Template","Plantilla de Pago Fallido"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida en función del respaldo del tema cuando se selecciona la opción ""Predeterminado""."
"Send Payment Failed Email Copy To","Enviar Copia de Email de Pago Fallido a"
"Separate by "","".","Separado por "",""."
"Send Payment Failed Email Copy Method","Método de Copia de envío de Email de Pago Fallido"
Summary,Sumario
"Order Total","Total del Pedido"
"Shipping Address","Dirección de Envío"
"We'll send your order confirmation here.","Le enviaremos la confirmación de su pedido aquí."
Payment,Pago
"Not yet calculated","No calculado aún"
"We received your order!","Hemos recibido su Pedido!"
"Thank you for your purchase!","Gracias por su Compra!"
