"My Reward Points","Mis MomiPesos"
"Reward Points","MomiPesos"
"Rewards Information","Información sobre MomiPesos"
"Available Points Balance","Balance de MomiPesos Disponibles"
"Change Balance","Balance de Cambios"
"Enter positive or negative number of points. E.g. 10 or -10","Ingrese una cantidad de MomiPesos positiva o negativa. E.g. 10 or -10"
"Message in the rewards history","Mensaje en el historial de MomiPesos"
"Customer will see this in his account","El cliente verá esto en su cuenta"
"No Records Found","No se encontraron registros"
ID,ID
"Balance Change","Cambio de Balance"
Comment,Comentar
"Created At","Creados el"
"Expires At","Vencen el"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplique la regla solo para los artículos del carrito que coincidan con las siguientes condiciones (déjelo en blanco para todos los artículos)"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplique la regla solo si se cumplen las siguientes condiciones (deje en blanco para todos los productos)"
Conditions,Condiciones
"Earning Rules","Reglas para ganarlos"
"Spending Rules","Reglas para gastarlos"
"Notification Rules","Reglas de notificación"
Transactions,Transacciones
"Customer Referrals","Clientes Referidos"
Reports,Reportes
"Refresh Statistics","Refrescar Estadísticas"
Settings,Configuraciones
Save,Guardar
Delete,Eliminar
"Save And Continue Edit","Guardar y continuar editando"
"Edit Referral '%1'","Editar Referido '%1'"
"Create New Referral","Crear Nuevo Referido"
"Customer Name","Nombre del Cliente"
"Customer Email","Email del Cliente"
"Customer Group","Grupo del Cliente"
Action,Acción
Code,Código
"Is expired","Ha expirado"
"Is sent","Fué enviado"
"Amount Used","Cantidad Utilizada"
"Are you sure?","Está seguro?"
"Checkout now and earn <b>%1</b> for this order.","Compre ahora y gane <b>%1</b> para este pedido."
"Applies only to registered customers, may vary when logged in.","Se aplica solo a clientes registrados, puede variar una vez logueado."
"Possible discount ' . . ' %1","Descuento Posible ' . . ' %1"
"Earn ' . . ' %1","Gane <b>' . . '</b> %1"
Grid,Grilla
List,Lista
All,Todo
"Referral %1","Referido %1"
"Something went wrong while saving your subscription.","Algo anduvo mal mientras se guardaba su suscripcion."
"We removed your subscription on expiring points notification.","Eliminamos su suscripción al momento de la notificación de los puntos."
"New Earning Rule","Nueva Regla de Ganancias"
"Earning Rule was successfully deleted","La regla de ganancias fue eliminada exitosamente"
"Edit Earning Rule '%1'","Editar regla de ganancias '%1'"
"The Earning Rule does not exist.","La regla de ganancias no existe."
"Total of %1 record(s) were successfully updated","Total de %1 registro (s) se actualizaron con éxito"
"Please select Earning Rule(s)","Por favor seleccione la (s) Regla (s) de Ganancia"
"Total of %1 record(s) were successfully deleted","Total de %1 registro (s) fueron eliminados con éxito"
"Earning Rule was successfully saved","La regla de ganancias se guardó con éxito"
"Unable to find Earning Rule to save","No se puede encontrar la regla de ganancias para ahorrar"
"New Notification Rule","Nueva regla de notificación"
"Notification Rule was successfully deleted","La regla de notificación se eliminó con éxito"
"Edit Notification Rule '%1'","Editar regla de notificación '%1'"
"The Notification Rule does not exist.","La regla de notificación no existe."
"Please select Notification Rule(s)","Seleccione las reglas de notificación"
"Notification Rule was successfully saved","La regla de notificación se guardó con éxito"
"Unable to find Notification Rule to save","No se puede encontrar la Regla de notificación para guardar"
"Please select Referral(s)","Por favor, seleccione Referido (s)"
"Statistics was successfully updated","Las estadísticas se actualizaron con éxito"
"Database error. Please contact developers.","Error de la base de datos. Por favor contacte a desarrolladores."
Rewards,Recompensas
"You have not any statistic. Please refresh statistic.","No tienes ninguna estadística. Por favor, actualice la estadística."
"New Spending Rule","Nueva regla de gastos"
"Spending Rule was successfully deleted","La regla de gasto se eliminó correctamente"
"Edit Spending Rule '%1'","Editar regla de gasto '%1'"
"The Spending Rule does not exist.","La regla de gasto no existe."
"Please select Spending Rule(s)","Por favor seleccione la (s) regla (s) de gasto"
"Field 'Spend maximum' can not be less or equal then field 'Spend minimum'","El campo 'Gastar máximo' no puede ser menor o igual que el campo 'Gastar mínimo'"
"Spending Rule was successfully saved","La regla de gastos se guardó con éxito"
"Unable to find Spending Rule to save","No se puede encontrar la Regla de gasto para guardar"
"New Transaction","Nueva transacción"
"Transaction was successfully deleted","La transacción fue eliminada exitosamente"
"Please select Transaction(s)","Seleccione Transacción (es)"
"Transaction was successfully saved","La transacción fue guardada con éxito"
"Unable to find Transaction to save","No se puede encontrar Transacción para guardar"
"Cannot apply points.","No se puede aplicar los puntos."
"You've earned %1 for Facebook Like!","Has ganado %1 por tu like en Facebook!"
"You've earned %1 for Facebook Share!","Has ganado %1 por compartir en Facebook!"
"Facebook Like Points has been canceled","Los Puntos por tu like en Facebook han sido cancelados"
"You've earned %1 for Google+!","Has ganado %1 por Google+!"
"G+1 Points has been canceled","Los puntos por G+1 han sido cancelados"
"You've earned %1 for Pin!","Has ganado %1 por Pin!"
"Invalid form key. Try again","Clave de formulario inválida Inténtalo de nuevo"
"Customer with email %1 has been already invited to our store","El cliente con el correo electrónico %1 ya ha sido invitado a nuestra tienda"
"Your invitations were sent. Thanks!","Tus invitaciones fueron enviadas Gracias!"
"You've earned %1 for Tweet!","Has ganado %1 por Tweet!"
"You received %1 for signing up","Has recibido % 1 por registrarte"
"You received %1 for sending this product","Has recibido %1 por enviar este producto"
"You received %1 for sign up for newsletter","Has recibido %1 por suscribirte al boletín"
"You received %1 for sign up for push notifications","Has recibido %1 por registrarte en notificaciones push"
"You will receive %1 after approving of this tag","Recibirás %1 después de aprobar esta etiqueta"
"You will receive %1 after approving of this review","Recibirás %1 después de aprobar esta revisión"
"You received %1 for sign up of referral customer.","Recibirás %1 por registrarte en el cliente de referencia."
"You received %1 for order of referral customer.","Recibirás %1 para el pedido del cliente de referencia."
"Happy birthday! You received %1.","Feliz Cumpleaños! Recibirás %1."
"You received %1 for joining the affiliate program.","Recibirás %1 por unirte al programa de afiliados."
"%1 was applied.","Se aplicó %1."
"Minimum number is %1.","El número mínimo es %1."
"Maximum number is %1.","El número máximo es %1."
"%1 was canceled.","Fueron cancelados %1."
"Cannot apply %1.","No se puede aplicar %1."
"You can use the following variables:","Puedes usar las siguientes variables:"
Pattern,Patrón
"Attribute Value","Valor del atributo"
Default,Defecto
Integer,Entero
Price,Precio
"Strip Tags","Etiquetas de tira"
"Primary Attributes","Atributos primarios"
"Stock Attributes","Stock de atributos"
"Prices & Taxes","Precios e impuestos"
Images,Imagenes
"Custom Attributes","Atributos personalizados"
Mapping,Cartografía
Category,Categoría
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Otros atributos"
Flexible,Flexible
Fixed,Fijo
"Customer signs up in store","El cliente se registra en la tienda"
"Customer places order","El cliente pone orden"
"Customer refer a friend","El cliente se refiere a un amigo"
"Customer adds tag to a product","El cliente agrega la etiqueta a un producto"
"Customer writes a product review","El cliente escribe una reseña del producto"
"Customer has a birthday","El cliente tiene un cumpleaños"
"Customer is inactive for long time","El cliente está inactivo por mucho tiempo"
"Newsletter sign up","Inscríbete al boletín"
"Facebook Share","Compartir en FaceBook"
"Facebook Like","Dar Me gusta en Facebook"
"Twitter Tweet","Twittear en Twitter"
"Google+ Like","Google+ Like"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","El cliente se une al programa de afiliados"
"Push Notifications sign up","Registrate en notificaciones push"
"Referred customer signs up in store","Los clientes referidos se registran en la tienda"
"Order from referred customer","Orden del cliente referido"
"Points to Currency","Puntos a Moneda"
"Currency to Points","Moneda a Puntos"
"Customer Account > My Reward Points","Cuenta de cliente > Mis puntos de recompensa"
"Customer Account > My Referrals","Cuenta de cliente > Mis referencias"
"Cart Page","Página del carrito"
"Message Sent","Enviar mensaje"
"Signed Up","Inscripto"
"Made Order","Hacer orden"
"Visited by Referral Link","Visitado por enlace de referencia"
"Subtotal + Tax","Subtotal + Impuestos"
"Subtotal + Tax + Shipping","Subtotal + Impuestos + Envío"
"Product Rule","Regla del producto"
"Cart Rule","Regla de carrito"
"Behavior Rule","Regla de comportamiento"
"Transaction #%1 is expired","Transacción #%1 ha expirado"
"Update the Product","Actualizar el producto"
"Is Rewards Points used","Se utilizan puntos de recompensas"
"Coupon Used","Cupón utilizado"
"Coupon Code","Código promocional"
No,No
Yes,Si
"Conditions Combination","Combinación de condiciones"
"Product attribute combination","Combinación de atributos del producto"
"Products subselection","Subselección de productos"
"Conditions combination","Combinación de condiciones"
"Cart Attribute","Atributo del carro"
Customer,Cliente
"Last 7-days Clicks","Clics de los Últimos 7 días"
"Last 7-days Orders","Ordenes de los Últimos 7 días"
"Last 7-days Revenue","Ingresos de los Últimos 7 días"
"Is Referee","Es árbitro"
"Is Referral","Es referencia"
Email,Email
Group,Grupo
"Lifetime Sales","Ventas de por vida"
"Number of Orders","Numero de ordenes"
"Is subscriber of newsletter","Es suscriptor del boletín"
"Number of reviews","Cantidad de críticas"
"Number of referred friends signups","Número de registros de amigos referidos"
"Number of referred friends orders","Número de pedidos de amigos referidos"
"Sum of referred friends orders","Suma de pedidos de amigos referidos"
"Number of referrals who ordered at least once","Número de referencias que ordenó al menos una vez"
"Not registered","No registrado"
"Attribute Set","Conjunto de atributos"
Quantity,Cantidad
"Product Type","Tipo de producto"
"Base Image","Imagen base"
Thumbnail,Miniatura
"Small Image","Imagen pequeña"
"Base Image Size (bytes)","Tamaño de imagen base (bytes)"
"Thumbnail Size (bytes)","Tamaño de miniatura (bytes)"
"Small Image Size (bytes)","Tamaño de imagen pequeño (bytes)"
"PHP Condition","Condición de PHP"
"Open Chooser","Selector abierto"
"Referred: Group","Referido: Grupo"
"Referred: Lifetime Sales","Referido: Ventas de por vida"
"Referred: Number of Orders","Referido: Número de pedidos"
"Referred: Is subscriber of newsletter","Referido: es suscriptor del boletín informativo"
"Referred: Number of reviews","Referido: Cantidad de revisiones"
"Please specify a website.","Por favor, especifique un sitio web."
"Please specify a customer email.","Por favor, especifique un correo electrónico del cliente."
"We found an invalid value in a website column.","Encontramos un valor no válido en una columna de sitio web."
"Please enter a valid email.","Por favor introduzca una dirección de correo electrónico válida."
"Please make sure attribute ""%1"" is not empty.","Asegúrate de que el atributo ""% 1 "" no esté vacío."
"We can't find a customer who matches this email and website code.","No podemos encontrar un cliente que coincida con este código de correo electrónico y sitio web."
"-- Please Select --","--Seleccione --"
"Discount Used","Descuento usado"
"Base Price","Precio base"
"Final Price","Precio final"
"Special Price","Precio especial"
"Custom Product Attributes","Atributos de productos personalizados"
"- Disable these emails -","- Deshabilitar estos correos electrónicos -"
"Give X points to customer","Dar puntos X al cliente"
"Give X points for every spent Y","Dar X puntos por cada Y gastado"
"Give X points for every Z quantity","Dar X puntos por cada Z cantidad"
"For every Y, give X points","Por cada Y, dar X puntos"
Pending,Pendiente
Approved,Aprovado
Discarded,Descartado
"You do not have permissions to create transactions. Please contact your site administrator.","No tienes permisos para crear transacciones. Por favor, póngase en contacto con el administrador de su sitio ".
"%1 ha sido agregado.", "%1 ha sido agregado."
"%1 has been deducted.","%1 ha sido deducido"
"You earned %1 and spent %2 for this order.","Usted ganó %1 y gastó %2 para esta orden."
"You spent %1 for this order.","Gastaste %1 para esta orden."
"You earned %1 for this order.","Has ganado %1 para esta orden."
"Earned points will be enrolled to your account after we finish processing your order.","Los puntos ganados se inscribirán en su cuenta después de que terminemos de procesar su pedido.."
"Rewards error occurred on the server. Please try to place the order again.","El error de recompensas ocurrió en el servidor. Intenta hacer el pedido nuevamente."
"Possible discount %1 %2","Posible descuento %1 %2"
"Earn %1 %2","Gane <span>unos %1</span> %2 extra"
"Earn at least %1 %2","Gane al menos %1 %2"
Edit,Editar
Back,Volver
"Are you sure you want to do this?","¿Seguro que quieres hacer esto?"
Reset,Resetear
"Save and Continue Edit","Guardar y continuar editando"
"Delete the record with ID ""${ $.$data.transaction_id }""","Elimine el registro con ID ""${ $.$Data.transaction_id }"""
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","¿Estás seguro de que deseas eliminar el registro con ID ""${ $.$Data.transaction_id } ""?"
"Use Reward Points","Use puntos de recompensa"
"%1 have <b>%2</b> available.","% 1 tiene <b>% 2</b> disponible."
"Enter amount of points to spend:","Ingrese la cantidad de puntos para gastar:"
"Apply Points","Aplicar puntos"
"Cancel Points","Cancelar puntos"
"Use maximum %1","Usar máximo %1"
"Points Summary","Resumen de puntos"
"To unsubscribe from points expiring notification click %1","Para darse de baja de los puntos que expiran la notificación, haga clic en %1"
"You have <b>%1</b> in your account.","Tiene <b>%1</b> en su cuenta."
"Transactions History","Historial de transacciones"
Points,Puntos
Created,Creado
Expires,Vence
"There are no Transactions.","No hay transacciones."
"Your points balance will expire in %1 days.","Su saldo de puntos caducará en %1 días."
"Visit My Reward Points Section","Visita mi sección de puntos de recompensa"
"Login to earn %1 for sharing!","Inicia sesión para ganar %1 para compartir!"
"Earn %1 for sharing!","Gane %1 por compartir!"
"Like this page and earn %1","Da Me Gusta a esta página y gana %1"
Share,Compartir
"Share this page and earn %1","Comparte ésta página y gana %1"
"Plus this page and earn %1","Hacé plus en ésta página y ganá %1"
"Pin this page and earn %1","Fija esta página y gana %1"
"Refer Friends","Referir amigos"
"Refer friend and earn %1. More friends more points!","Recomienda a un amigo y gane %1. Más amigos más puntos!"
Tweet,Tweetear
"Tweet this page and earn %1","Twittea esta página y gana %1"
"Check this out!","Mira esto!"
"You have <b>%1</b> available.","Tienes <b>%1</b> disponible."
Apply,Aplicar
Cancel,Cancelar
"You Earn","Tu ganas"
"You Spend","Tu gastas"
"Discount amount","Importe de descuento"
"This is a required field","Este es un campo obligatorio"
"Subscription to Points Expiration Notification","Suscripción a la notificación de caducidad de los puntos"
"Earning %1","Ganado %1"
"Buy to earn %1","Comprar para ganar %1"
"You'll earn %1 for this item","Ganarás% 1 para este artículo"
"Share with Friends","Compartir con amigos"
"Share the referral link in the social media and get points!","Comparte el enlace de referencia en las redes sociales y obtén puntos!"
"Tweet on Twitter","Tweetear en Twitter"
"Your referral link:","Tu enlace de referencia:"
"Send Invitations","Enviar invitaciones"
"Enter contacts of your friends to invite them.","Ingresa los contactos de tus amigos para invitarlos."
Name,Nombre
Message,Mensaje
Referrals,Referencias
Status,Estado
"Referred by link","Referido por enlace"
"There are no Referrals","No hay referencias"
"You have","Tienes"
available.,disponible.
"Use maximum","Use máximo"
"Enter amount of points to spend","Ingrese la cantidad de puntos para gastar"
"Point Unit Name","Nombre de la unidad de punto"
"Reward points expire after, days","Los puntos de recompensa caducan después de, días"
"Approve earned points on invoice","Aprobar puntos ganados en la factura"
"Approve earned points on shipment","Aprobar puntos ganados en el envío"
"Approve earned points if order has status","Aprobar puntos ganados si el orden tiene estado"
"Cancel earned points after order refunding","Cancelar los puntos ganados después de la devolución de la orden"
"Restore spent points after order refunding","Restaurar puntos gastados después de la devolución de la orden"
"Include discount for Earning rules","Incluir descuento para las reglas de ganancia"
"Include tax for Earning rules","Incluir impuestos para las reglas de ganancia"
"Include tax for Spending rules","Incluir impuestos para las reglas de Gasto"
"Allow to earn points from shipping charges","Permitir ganar puntos de los gastos de envío"
"Allow to spend points for shipping charges","Permitir gastar puntos por gastos de envío"
"Allow to place orders with grand total = 0","Permitir hacer pedidos con gran total = 0"
"Allow to display product points as currency equivalent","Permitir mostrar los puntos del producto como moneda equivalente"
"Allow to display maximum amount of possible points for configurable product","Permitir mostrar la cantidad máxima de puntos posibles para productos configurables"
"Email Sender","Remitente de correo electrónico"
"Balance update Email","Balance de actualización de correo electrónico"
"Points expire Email","Puntos caducan Correo electrónico"
"Send notification before points expiring (in days)","Enviar notificación antes de que expiren los puntos (en días)"
"Enable Referral System","Habilitar sistema de referencia"
"Invitation Email Template","Plantilla de correo electrónico de invitación"
"Show rewards points menu on frontend","Mostrar menú de puntos de recompensas en frontend"
"Show rewards points on category page","Mostrar puntos de recompensas en la página de categoría"
"Show number of points on the product page","Mostrar la cantidad de puntos en la página del producto"
"Round earning points down","Ronda de puntos de ganancia hacia abajo"
"Custom Behavior Events","Eventos de comportamiento personalizado"
"Force to apply styles","Fuerza para aplicar estilos"
"Social Networks Settings","Configuración de redes sociales"
"Facebook App ID","Facebook App ID"
"Show Facebook Like button","Mostrar el botón Me gusta de Facebook"
"Show Facebook Share button","Mostrar el botón Compartir de Facebook"
"Show Twitter Follow button","Mostrar el botón Seguir de Twitter"
"Show Google Plus +1 button","Mostrar el botón Google Plus +1"
"Show Pinterest pin button","Mostrar el botón pin de Pinterest"
"Show Add This","Mostrar Agregar Esto"
"AddThis Code","Añadir este código"
"Notification Rules' messages","Mensajes de las Reglas de notificación"
Template,Modelo
"Notification Rule Template","Plantilla de regla de notificación"
Phone,Teléfono
ZIP,ZIP
Country,País
State/Province,Estado/Provincia
"Customer Since","Cliente desde"
"Web Site","Sitio web"
"General Information","Información general"
"Rule Name","Nombre de la regla"
Type,Tipo
"Is Active","Está activo"
"Active From","Activo desde"
"Active To","Activo a"
Websites,Sitios web
"Stop further rules processing","Detener el procesamiento de reglas adicionales"
Priority,Prioridad
"Arranged in the ascending order. 0 is the highest.","Dispuestos en orden ascendente. 0 es el más alto."
"Number of Inactive Days","Cantidad de días inactivos"
Actions,Acciones
"Number of points to give (X)","Número de puntos para dar (X)"
"Step (Y)","Paso (Y)"
"In base currency","En moneda base"
"Quantity Step (Z)","Paso de cantidad(Z)"
"Maximum number of earned points for one customer per day","Número máximo de puntos ganados para un cliente por día"
"Assign customer to Group","Asignar cliente al grupo"
Notification,Notificación
"Message for customer notification email","Mensaje para correo electrónico de notificación del cliente"
"You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        Leave empty to use default notification email.<br/>
                        
                    ","Puedes usar las siguientes variables:<br/>
                        {{var customer.name}} - Nombre del cliente<br/>
                        {{store url=""""}} - Tienda URL<br/>
                        {{var store.getFrontendName()}} - Nombre de la Tienda<br/>
                        {{var transaction_amount}} - cantidad formateada de la transacción actual (por ejemplo, 10 puntos de recompensas)<br/>
                        {{var balance_total}} - saldo formateado de la cuenta del cliente (por ejemplo, 100 puntos de recompensas)<br/>
                        Déjalo vacío para usar el correo electrónico de notificación predeterminado.<br/>
                        
                    "                        
"Customer Earning Style","Estilo de ganancia del cliente"
"Number of Points (X)","Número de puntos (X)"
"Earn Maximum","Gane máximo"
"Add New","Agregar nuevo"
"Delete items","Eliminar objetos"
"Delete selected items?","Eliminar elementos seleccionados?"
"Change status","Cambiar Estado"
Enable,Habilitar
Disable,Inhabilitar
"Number of points to earn","Cantidad de puntos para ganar"
Website,Sitio Web
"Maximum Distributed Points","Puntos máximos distribuidos"
"You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        
                    ","Puedes usar las siguientes variables:<br/>
                        {{var customer.name}} - Nombre del cliente<br/>
                        {{store url=""""}} - Tienda URL<br/>
                        {{var store.getFrontendName()}} - Nombre de la Tienda<br/>
                        {{var balance_total}} - saldo formateado de la cuenta del cliente (por ejemplo, 100 puntos de recompensas)<br/>
                        
                    "                        
"Show message on","Mostrar mensaje en"
"Affiliate Customer","Cliente afiliado"
"Referral Customer","Cliente de referencia"
"Referral Email","Correo electrónico de referencia"
"Referral Name","Nombre de referencia"
Store,Tienda
"For each spent X points","Por cada X gastado"
"Customer receive Y discount","El cliente recibe descuento Y"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Puede ingresar el monto en la moneda base o porcentaje. p.ej. 100 o 5%."
"Spend minimum","Gastar un mínimo"
"Spend maximum","Gastar máximo"
Discount,Descuento
"Points Balance Change","Puntos Balance Cambiar"
"You can use the following variables:<br>
                        {{var customer.name}} - customer name<br>
                        {{store url=""""}} - store URL<br>
                        {{var store.getFrontendName()}} - store name<br>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br>
                        Leave empty to use default notification email.<br>
                        
                    ","Puedes usar las siguientes variables:<br>
                        {{var customer.name}} - Nombre del Cliente<br>
                        {{store url=""""}} - Tienda URL<br>
                        {{var store.getFrontendName()}} - Nombre de la Tienda<br>
                        {{var transaction_amount}} - cantidad formateada de la transacción actual (por ejemplo, 10 puntos de recompensas)<br>
                        {{var balance_total}} - saldo formateado de la cuenta del cliente (por ejemplo, 100 puntos de recompensas)<br>
                        Déjalo vacío para usar el correo electrónico de notificación predeterminado.<br>
                        
                    "
CSV,CSV
"Excel XML","Excel XML"
"My Referrals","Mis Referidos"
"Referrals List","Lista de Referidos"
